Title,Authors,Conference,Cited_url,Cited_count,Year
Joint scheduling and buffer management policies for dtn applications of different traffic classes,P Matzakos; T Spyropoulos; C Bonnet,IEEE transactions on Mobile Computing 17 (12); 2818-2834,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1126954992655878924,3,2018
Utility-based resource allocation under multi-connectivity in evolved LTE,K Alexandris; CY Chang; K Katsalis; N Nikaein; T Spyropoulos,2017 IEEE 86th Vehicular Technology Conference (VTC-Fall); 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15034273006664324241,3,2017
Analyzing MEC architectural implications for LTE/LTE-A,CY Chang; A Konstantinos; N Navid; S Thrasyvoulos,Tech. rep.; Eurecom,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11630605187690022893,3,2016
Underlay vs. interweave: Which one is better,F Mehmeti; T Spyropoulos,Technical Report RR-14-296; EURECOM; 2014. http://www. eurecom. fr/en …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1786630167885321613,3,2014
Including Pedestrian and Bicycle Traffic in the Traffic Simulation SUMO,D Krajzewicz; J Erdmann; J Härri; T Spyropoulos,10th ITS European Congress. Helsinki; 10,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=475958703833112584,3,2014
DTN; satellite communications,C Caini; R Firrincieli,Delay Tolerant Networks: Protocols; Applications; 283-318,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16755416444945703616,3,2011
Distributed optimization in DTNs: Towards understanding greedy and stochastic algorithms,A Picu; T Spyropoulos,Tech. Rep. TIK Report,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3277282329749443199,3,2010
Probabilistic Routing in Intermittently Connected Networks.,L Liu; Z Chen; HY Huang; PE Luo; M Li; D Li; X Li; W Shu; MY Wu; H Kang; ...,Information Technology Journal 9 (2); 3381-3396,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2788126504609190949,3,2007
Multi-connectivity resource allocation with limited backhaul capacity in evolved LTE,K Alexandris; CY Chang; N Nikaein; T Spyropoulos,2018 IEEE Wireless Communications and Networking Conference (WCNC); 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4369164097051620718,2,2018
An analytical model for flow-level performance in heterogeneous wireless networks,G Arvanitakis; T Spyropoulos; F Kaltenberger,IEEE Transactions on Wireless Communications 17 (3); 1488-1501,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=994360223387526518,2,2017
